,WELL_NAME,DATE,_merge
716,1.0,2022-01-02,left_only
717,1.0,2022-01-03,left_only
718,1.0,2022-01-04,left_only
719,1.0,2022-01-05,left_only
720,1.0,2022-01-06,left_only
721,1.0,2022-01-07,left_only
722,1.0,2022-01-08,left_only
723,1.0,2022-01-09,left_only
724,1.0,2022-01-10,left_only
725,1.0,2022-01-11,left_only
726,1.0,2022-01-12,left_only
727,1.0,2022-01-13,left_only
728,1.0,2022-01-14,left_only
729,1.0,2022-01-15,left_only
730,1.0,2022-01-16,left_only
731,1.0,2022-01-17,left_only
732,1.0,2022-01-18,left_only
733,1.0,2022-01-19,left_only
734,1.0,2022-01-20,left_only
735,1.0,2022-01-21,left_only
736,1.0,2022-01-22,left_only
737,1.0,2022-01-23,left_only
738,1.0,2022-01-24,left_only
739,1.0,2022-01-25,left_only
740,1.0,2022-01-26,left_only
741,1.0,2022-01-27,left_only
742,1.0,2022-01-28,left_only
743,1.0,2022-01-29,left_only
744,1.0,2022-01-30,left_only
745,1.0,2022-01-31,left_only
746,1.0,2022-02-01,left_only
747,1.0,2022-02-02,left_only
748,1.0,2022-02-03,left_only
749,1.0,2022-02-04,left_only
750,1.0,2022-02-05,left_only
751,1.0,2022-02-06,left_only
752,1.0,2022-02-07,left_only
753,1.0,2022-02-08,left_only
754,1.0,2022-02-09,left_only
755,1.0,2022-02-10,left_only
756,1.0,2022-02-11,left_only
757,1.0,2022-02-12,left_only
758,1.0,2022-02-13,left_only
759,1.0,2022-02-14,left_only
760,1.0,2022-02-15,left_only
761,1.0,2022-02-16,left_only
762,1.0,2022-02-17,left_only
763,1.0,2022-02-18,left_only
764,1.0,2022-02-19,left_only
765,1.0,2022-02-20,left_only
766,1.0,2022-02-21,left_only
767,1.0,2022-02-22,left_only
768,1.0,2022-02-23,left_only
769,1.0,2022-02-24,left_only
770,1.0,2022-02-25,left_only
771,1.0,2022-02-26,left_only
772,1.0,2022-02-27,left_only
773,1.0,2022-02-28,left_only
774,1.0,2022-03-01,left_only
775,1.0,2022-03-02,left_only
776,1.0,2022-03-03,left_only
777,1.0,2022-03-04,left_only
778,1.0,2022-03-05,left_only
779,1.0,2022-03-06,left_only
780,1.0,2022-03-07,left_only
781,1.0,2022-03-08,left_only
782,1.0,2022-03-09,left_only
783,1.0,2022-03-10,left_only
784,1.0,2022-03-11,left_only
785,1.0,2022-03-12,left_only
786,1.0,2022-03-13,left_only
787,1.0,2022-03-14,left_only
788,1.0,2022-03-15,left_only
789,1.0,2022-03-16,left_only
790,1.0,2022-03-17,left_only
791,1.0,2022-03-18,left_only
792,1.0,2022-03-19,left_only
793,1.0,2022-03-20,left_only
794,1.0,2022-03-21,left_only
795,1.0,2022-03-22,left_only
796,1.0,2022-03-23,left_only
797,1.0,2022-03-24,left_only
798,1.0,2022-03-25,left_only
799,1.0,2022-03-26,left_only
800,1.0,2022-03-27,left_only
801,1.0,2022-03-28,left_only
802,1.0,2022-03-29,left_only
803,1.0,2022-03-30,left_only
804,1.0,2022-03-31,left_only
805,1.0,2022-04-01,left_only
806,1.0,2022-04-02,left_only
807,1.0,2022-04-03,left_only
808,1.0,2022-04-04,left_only
809,1.0,2022-04-05,left_only
810,1.0,2022-04-06,left_only
811,1.0,2022-04-07,left_only
812,1.0,2022-04-08,left_only
813,1.0,2022-04-09,left_only
814,1.0,2022-04-10,left_only
815,1.0,2022-04-11,left_only
816,1.0,2022-04-12,left_only
817,1.0,2022-04-13,left_only
818,1.0,2022-04-14,left_only
819,1.0,2022-04-15,left_only
