MEASURED_IN_DATE,P_ZAB,WELL_NAME,OIL_RATE_5_days_ago,OIL_RATE_4_days_ago,OIL_RATE_3_days_ago,OIL_RATE_2_days_ago,OIL_RATE_1_days_ago,TARGET_OIL_RATE
2020-10-17,0.0,1,62.07999999999999,60.14000000000001,59.83000000000001,59.83000000000001,59.83000000000001,59.52000000000001
2020-10-18,-1.9801799089336207e-11,1,60.14000000000001,59.83000000000001,59.83000000000001,59.83000000000001,59.52000000000001,59.52000000000001
2020-10-19,0.0,1,59.83000000000001,59.83000000000001,59.83000000000001,59.52000000000001,59.52000000000001,59.21000000000001
2020-10-20,-5.622724508214105e-12,1,59.83000000000001,59.83000000000001,59.52000000000001,59.52000000000001,59.21000000000001,59.21000000000001
2020-10-21,-1.1342662920021951e-10,1,59.83000000000001,59.52000000000001,59.52000000000001,59.21000000000001,59.21000000000001,59.21000000000001
2020-10-22,0.0,1,59.52000000000001,59.52000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001
2020-10-23,0.0,1,59.52000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001
2020-10-24,0.0,1,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001
2020-10-25,0.0,1,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001
2020-10-26,-5.615008458192961e-12,1,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,61.11999999999999
2020-10-27,0.0,1,59.21000000000001,59.21000000000001,59.21000000000001,59.21000000000001,61.11999999999999,60.79999999999999
2020-10-28,5.5310533930708055e-11,1,59.21000000000001,59.21000000000001,59.21000000000001,61.11999999999999,60.79999999999999,60.79999999999999
2020-10-29,0.0,1,59.21000000000001,59.21000000000001,61.11999999999999,60.79999999999999,60.79999999999999,60.79999999999999
2020-10-30,0.0,1,59.21000000000001,61.11999999999999,60.79999999999999,60.79999999999999,60.79999999999999,60.47999999999999
2020-10-31,0.0,1,61.11999999999999,60.79999999999999,60.79999999999999,60.79999999999999,60.47999999999999,60.79999999999999
2020-11-01,0.0,1,60.79999999999999,60.79999999999999,60.79999999999999,60.47999999999999,60.79999999999999,60.47999999999999
2020-11-02,5.615008458192961e-12,1,60.79999999999999,60.79999999999999,60.47999999999999,60.79999999999999,60.47999999999999,60.79999999999999
