WELL_NAME,WATER_CUT,LIQ_RATE,OIL_RATE,WATER_RATE,Q_LIQ_ACCUM,Q_OIL_ACCUM,Q_WATER_ACCUM
53,4.499532236594411e-22,3.5067163714570033e-26,1.1171986909887982e-24,1.0543781490900288e-21,1.6284370848592254e-15,3.40254438841711e-07,1.2681955944058618e-17
56,3.0066924314863424e-20,2.139521167539434e-27,1.3221801308189989e-21,6.049076293981888e-21,1.526605194927453e-19,4.744936504657395e-12,8.810704130877384e-13
57,9.753616554979667e-20,1.488707457049705e-26,3.0524249928676927e-28,9.298499229019718e-29,5.138536573039314e-13,3.3423857720798475e-12,5.433991729699606e-18
58,7.845181972222828e-22,2.1022614529819895e-22,2.930819618656557e-19,2.8793329784371366e-26,1.800435017791027e-10,1.5327337660921543e-11,9.39634705663114e-14
59,8.413559924951424e-24,2.373182319805347e-17,1.1389288999472183e-23,2.092387892579461e-17,4.2830557701544994e-16,1.3206253228809084e-07,7.180593922982613e-08
60,6.811552471314749e-21,2.3560492018519167e-21,8.819438682602147e-23,2.5164574417921837e-21,5.0657411740623316e-11,1.0989171014604315e-06,1.641990294129653e-06
61,2.6295620332635034e-25,5.694103544446159e-26,2.76501385036229e-24,4.332261748486675e-25,1.277085418370857e-12,5.696005079399126e-07,1.3091186893458857e-13
62,1.2063583482563791e-20,1.0456398630167191e-23,8.831228556165847e-24,8.486987506099656e-24,1.6535169333677646e-14,4.8709203253653194e-11,2.789360317375058e-16
63,1.6664603221927428e-18,1.8789284977654436e-23,1.064695827227418e-22,1.8286247192027508e-15,1.5766516787350127e-09,6.240218114168658e-08,7.831032253061482e-11
64,4.471626206526666e-18,3.326286912357255e-19,3.242622595507156e-19,1.136074501531943e-19,7.478128477515115e-09,6.023032916974521e-08,1.3235929319396455e-09
65,3.890404249822756e-20,4.677331798081899e-19,9.522974335533717e-20,8.133697916528747e-22,5.438597154145798e-07,9.344843464187721e-07,7.373906333293625e-09
67,2.5367541541757804e-20,2.0969880373234989e-22,3.947193506616468e-23,4.096641515251651e-23,2.136051512520968e-09,9.82460304085697e-09,1.7848307943341247e-20
68,3.2373440015005825e-13,2.5825660558810616e-14,1.6058928571440977e-13,3.894132624716609e-13,2.8059235840418202e-06,0.001294241119712951,1.6149569490287448e-07
69,3.5054755681363954e-18,2.4407280213721396e-21,1.512807039787214e-20,2.150015514562846e-17,6.462902862479233e-08,0.00038564151340178126,5.479142053065414e-16
70,1.0467987735855856e-22,8.518775464235665e-24,2.76648728591752e-24,4.725398774118762e-23,6.968672253154854e-13,1.9841858163482976e-06,1.2971297999715756e-08
71,5.526590436620243e-22,1.6822502945239516e-22,4.939975594201398e-24,1.5249192727186429e-21,6.624071640322897e-23,5.802046704264285e-22,1.71201546314753e-14
73,1.0599262313799134e-19,2.2762641146242467e-15,1.0620019312366137e-14,6.655135853491929e-19,8.660509947552794e-06,6.88176553012915e-05,1.0387291680697444e-12
