WELL_NAME,DATE,_merge
1.0,2020-11-20,left_only
1.0,2020-11-21,left_only
1.0,2020-11-22,left_only
1.0,2020-11-23,left_only
1.0,2020-11-24,left_only
1.0,2020-11-25,left_only
1.0,2020-11-26,left_only
1.0,2020-11-27,left_only
1.0,2020-11-28,left_only
1.0,2020-11-29,left_only
1.0,2020-11-30,left_only
1.0,2020-12-01,left_only
1.0,2020-12-02,left_only
1.0,2020-12-03,left_only
1.0,2020-12-04,left_only
1.0,2020-12-05,left_only
1.0,2020-12-06,left_only
1.0,2020-12-07,left_only
1.0,2020-12-08,left_only
1.0,2020-12-09,left_only
1.0,2020-12-10,left_only
1.0,2020-12-11,left_only
1.0,2020-12-12,left_only
1.0,2020-12-13,left_only
1.0,2020-12-14,left_only
1.0,2020-12-15,left_only
1.0,2020-12-16,left_only
1.0,2020-12-17,left_only
1.0,2020-12-18,left_only
1.0,2020-12-19,left_only
1.0,2020-12-20,left_only
1.0,2020-12-21,left_only
1.0,2020-12-22,left_only
1.0,2020-12-23,left_only
1.0,2020-12-24,left_only
1.0,2020-12-25,left_only
1.0,2020-12-26,left_only
1.0,2020-12-27,left_only
1.0,2020-12-28,left_only
1.0,2020-12-29,left_only
1.0,2020-12-30,left_only
1.0,2020-12-31,left_only
1.0,2021-01-01,left_only
1.0,2021-01-02,left_only
1.0,2021-01-03,left_only
1.0,2021-01-04,left_only
1.0,2021-01-05,left_only
1.0,2021-01-06,left_only
1.0,2021-01-07,left_only
1.0,2021-01-08,left_only
1.0,2021-01-09,left_only
1.0,2021-01-10,left_only
1.0,2021-01-11,left_only
1.0,2021-01-12,left_only
1.0,2021-01-13,left_only
1.0,2021-01-14,left_only
1.0,2021-01-15,left_only
1.0,2021-01-16,left_only
1.0,2021-01-17,left_only
1.0,2021-01-18,left_only
1.0,2021-01-19,left_only
1.0,2021-01-20,left_only
1.0,2021-01-21,left_only
1.0,2021-01-22,left_only
1.0,2021-01-23,left_only
1.0,2021-01-24,left_only
1.0,2021-01-25,left_only
1.0,2021-01-26,left_only
1.0,2021-01-27,left_only
1.0,2021-01-28,left_only
1.0,2021-01-29,left_only
1.0,2021-01-30,left_only
1.0,2021-01-31,left_only
1.0,2021-02-01,left_only
1.0,2021-02-02,left_only
1.0,2021-02-03,left_only
1.0,2021-02-04,left_only
1.0,2021-02-05,left_only
1.0,2021-02-06,left_only
1.0,2021-02-07,left_only
1.0,2021-02-08,left_only
1.0,2021-02-09,left_only
1.0,2021-02-10,left_only
1.0,2021-02-11,left_only
1.0,2021-02-12,left_only
1.0,2021-02-13,left_only
1.0,2021-02-14,left_only
1.0,2021-02-15,left_only
1.0,2021-02-16,left_only
1.0,2021-02-17,left_only
1.0,2021-02-18,left_only
1.0,2021-02-19,left_only
1.0,2021-02-20,left_only
1.0,2021-02-21,left_only
1.0,2021-02-22,left_only
1.0,2021-02-23,left_only
1.0,2021-02-24,left_only
1.0,2021-02-25,left_only
1.0,2021-02-26,left_only
1.0,2021-02-27,left_only
1.0,2021-02-28,left_only
1.0,2021-03-01,left_only
1.0,2021-03-02,left_only
1.0,2021-03-03,left_only
1.0,2021-03-04,left_only
1.0,2021-03-05,left_only
1.0,2021-03-06,left_only
1.0,2021-03-07,left_only
1.0,2021-03-08,left_only
1.0,2021-03-09,left_only
1.0,2021-03-10,left_only
1.0,2021-03-11,left_only
1.0,2021-03-12,left_only
1.0,2021-03-13,left_only
1.0,2021-03-14,left_only
